0	0	0	9.5395	0	-2.8357	0	0.95144	0	-0.12004	0	0.35572	0	0	0	-29.363	0	0	0	-0.41539	0	-1.3977	0	0.35361	0	0	0	5.8923	0	0	0	0	0	0.10478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.65612	6.1768	8.9373	3.3364	-0.85996
10.407	0.33065	0	0	3.6893	0	9.1948	0	0	0	3.2368	0	0.20796	0	0	0	-22.722	0	-2.2998	0	0	0	3.3516	0	-10.91	-4.0369	0	0	6.7069	0	-0.0124	0	0	0	7.3571	0	0.98458	-2.5476	0.45839	-2.4206	0.61722	0	0	0	0	0	0	0	0	0	0	0	-4.0781	3.7738	-1.2889	0	0	0	0	0	0	0	0	0
0	0	6.6715	0	0	-3.6395	0	0	0.66277	0	0	0.13181	0	0	-3.6204	0	0	-31.433	0	0	0	0.21716	0	0	0	0	5.4668	0	0	13.124	2.0293	0	0	0	0	4.9662	0	0	0	0	0	0	0	0	0	0	-1.5101	-2.5786	10.663	0.38519	-1.536	0	0	0	0	0	0	0	0	0	0	0	0	0
1.8121	1.3854	0.10447	0	0	0	19.22	0	0	11.535	-0.60883	0	0	0	-1.9526	0	-0.55571	0	-50.172	-0.083749	0	-1.4362	0	0	-16.405	2.3183	0	0.26842	0	0	3.191	0	0	10.356	21.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5.3042	0	0.54559	0	0	0	4.9277	0	8.1	0.59185	0	0	3.0656	0	-0.90626	0	0	-2.4403	-18.831	0	-0.89503	0	0	0	-3.5428	0	2.4859	0	0	0	7.5915	0	-2.1846	0	0	0	0	0	0	-2.5118	2.7694	-0.53278	-0.72613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.991	0.10412	0.075639	0	0	0
0	0	-0.14209	0	0	0	0	0	9.9443	0	0	0	-0.56316	0	-0.3236	0	0	0	0	0	-35.145	0	0	0	-0.12934	0	1.061	0	0	0	0	0	11.237	0	0	0	0	0	0	0	0	0	0	0	-1.1111	3.607	-4.2036	0	0	0	0	0	0	0	0	-0.24643	4.6182	11.397	0	0	0	0	0	0
0	0	2.8061	5.8889	0	6.1781	-3.7367	-2.2455	0.056792	-7.5566	0	-2.3389	0	0	-4.9434	0.36914	0	-1.9788	1.9489	0.82553	0	-28.858	0	0.44626	2.9362	0	-0.081515	8.2469	0	0.67354	4.7692	0	0	14.824	0	1.5252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24477	0	0	0
-2.4602	0.00091783	0	0	12.797	0	0.79387	0	0	0	9.2289	0	0	0	0	0	5.1906	0	0	0	0	0	-44.33	0	0	-1.869	0	0	-5.995	0	0	0	0	0	0.030733	0	0.33938	-0.26447	21.765	4.8622	-0.52178	0	0	0	0	0	0	0	0	0	0	0	-1.1646	1.5971	0	0	0	0	0	0	0	0	0	0
0	0	0	9.0842	0	-1.1788	0	0	0	0	0	13.517	0	0	0	2.9896	0	0	0	0	0	-2.2925	0	-34.625	0	0	0	0.15353	0	0.97227	0	0	0	0	0	-3.3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81151	-0.49487	0	0	0	0	0	0	0	0	-0.40958	-1.4451	12.36	3.8699
12.191	0	-0.82653	0	0	0	29.291	0	0.68484	0	0	0	6.2268	0	-4.9593	0	0.12284	0	2.1012	0	-2.2002	0.38203	0	0	-52.052	0	0	0	0	0	10.016	0	4.3132	-1.7396	0.061734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.32689	0.17539	-3.3448	-0.11626	0	0	0	0	0	0	0
